Date,Event_Name,Type,Importance_Level,Impacted_Commodities,Retail_Inference
2026-03-01,Sunday Market / Weekend,Civic,Medium,"Meat, Poultry, Staples","Higher than average sales for weekend meal prep."
2026-03-02,Sankashti Chaturthi,Fasting (Vrat),High,"Hibiscus, Coconut, Bananas, Modak Mix","Evening surge for ritual items and snacks for breaking the fast."
2026-03-03,Holika Dahan,Festival,High,"Jaggery, Ghee, Coconut, Wood/Coal","Evening rituals; demand for traditional sweet ingredients."
2026-03-04,Dhulivandan (Holi),Festival,Critical,"Milk, Thandai Spices, Sugar, Dry Fruits, Gulal","Massive surge in dairy and festive snacking items."
2026-03-11,Varuthini Ekadashi,Fasting (Vrat),High,"Sabudana, Peanuts, Makhana, Rock Salt","High demand for non-grain fasting staples."
2026-03-13,Pradosh Vrat,Fasting (Vrat),Medium,"Milk, Honey, Bel Leaves, Fruits","Evening puja demand for dairy and specific fresh produce."
2026-03-14,Masa Shivratri,Fasting (Vrat),Medium,"Milk, Curd, Bel Leaves","Ritual-specific surge for dairy products."
2026-03-15,Sunday Market / Weekend,Civic,Medium,"Meat, Staples, Soft Drinks","Standard weekend bulk purchasing."
2026-03-19,Gudi Padwa (Marathi New Year),Festival,Critical,"Neem, Jaggery, Shrikhand, Puran Poli Ingredients","Major shopping day; surge in premium groceries and traditional ingredients."
2026-03-22,Sunday Market / Weekend,Civic,Medium,"Meat, Staples","High footfall in residential clusters like Dombivli."
2026-03-24,Skanda Sashti,Religious,Medium,"Flowers, Fruits, Curd","Surge in specific South Indian community clusters (e.g., Matunga/Dombivli)."
2026-03-27,Rama Navami,Festival,High,"Panakam Ingredients (Ginger/Jaggery), Fruits","High demand for ginger, jaggery, and festive groceries."
2026-03-31,Kamada Ekadashi,Fasting (Vrat),High,"Sabudana, Peanuts, Fruits, Sweet Potato","Shift from grains to tubers and fasting snacks."
2026-04-01,Hanuman Jayanti,Festival,High,"Oil, Vermillion, Gram Flour (Besan), Bananas","Surge in oil for lamps and gram flour for traditional prasad (Boondi)."
2026-04-03,Good Friday,Observance,Medium,"Fish, Eggs, Hot Cross Buns/Bread","Shift toward non-veg consumption in specific pockets; bakery demand."
2026-04-05,Easter Sunday,Festival,Medium,"Chocolate, Eggs, Meat, Premium Staples","Celebratory meal prep; high demand for confectionaries."
2026-04-10,Varuthini Ekadashi (Apar),Fasting (Vrat),High,"Sabudana, Peanuts, Sweet Potato, Rock Salt","High demand for non-grain fasting staples."
2026-04-12,Sunday Market / Weekend,Civic,Medium,"Cold Drinks, Ice Cream, Meat","Summer peak demand for cooling products."
2026-04-14,Dr. Ambedkar Jayanti,Civic,High,"Flowers, Sweets, Staples","Public holiday; local rallies and community gatherings increase footfall."
2026-04-14,Solar New Year / Puthandu,Festival,Medium,"Raw Mango, Jaggery, Neem","Tamil/South Indian community demand in clusters like Dombivli/Matunga."
2026-04-18,Akshaya Tritiya,Festival,Critical,"Grains, Ghee, Sweets, Coconuts","Highly auspicious day; bulk buying of staples and festive ingredients."
2026-04-22,Earth Day / Heatwave Peak,Civic/Weather,Medium,"Lemon, Glucose, Water Bottles, Curd","Heightened demand for hydration and heat-management products."
2026-04-26,Sunday Market / Weekend,Civic,Medium,"Staples, Soft Drinks, Mangoes","Early season Alfonso/local mango demand spikes."
2026-04-28,Mohini Ekadashi,Fasting (Vrat),High,"Sabudana, Fruits, Peanuts, Makhana","Strict fasting protocols observed by large demographic segments."
2026-04-30,Pradosh Vrat,Fasting (Vrat),Medium,"Milk, Honey, Bel Leaves, Fruits","Evening puja demand; focus on dairy and fresh ritual items."
